id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627195409258168321,2953713339,repevanjenkins,Twitter for iPhone,2015-07-31 19:13:32,1,1,I joined @WestVirginiaAG to announce the St. Mary’s Medical Center &amp; Cabell Huntington Hospital antitrust agreement. http://t.co/kFPX3YiRw6,,,,,
626878365673332736,2953713339,repevanjenkins,Twitter for iPhone,2015-07-30 22:13:43,6393,0,RT @GeorgeHWBush: Who knew jumping out of planes was safer than getting out of bed? Thanks to all for your kind get-well messages. http://t…,,,626831274477404160,475988505,GeorgeHWBush
626827648786894848,2953713339,repevanjenkins,Twitter for iPhone,2015-07-30 18:52:12,2,4,Proud to meet w/ West Virginia AIPAC members about my opposition to the Iran deal &amp; my unwavering support of Israel. http://t.co/eEnpmUIdva,,,,,
626449046882918400,2953713339,repevanjenkins,Twitter Web Client,2015-07-29 17:47:46,3,3,Proud to join @RepMcKinley and the House Coal Caucus in speaking in support of West Virginia coal jobs. https://t.co/5eHXCgLbG2,,,,,
626181348512956416,2953713339,repevanjenkins,Twitter for iPhone,2015-07-29 00:04:02,1,0,RT @RepMcKinley: Thanks to @RepAndyBarr @RepAlexMooney @RepEvanJenkins for joining #CoalCaucus discussion on importance of #coal,,,626176053824851969,240427862,RepMcKinley
626143010804400128,2953713339,repevanjenkins,Twitter Web Client,2015-07-28 21:31:41,3,0,I’m proud to cosponsor the REINS Act because I know how this administration’s regulations have hurt West Virginia. https://t.co/m2l5IaBNBF,,,,,
625743142571085824,2953713339,repevanjenkins,Twitter for iPhone,2015-07-27 19:02:45,2,1,I stopped by @WOAYNewswatch today for a great conversation with Keith Conner about my first six months in Congress. http://t.co/fleuIf5t2B,,,,,
625145041741344768,2953713339,repevanjenkins,Twitter for iPhone,2015-07-26 03:26:07,5,0,"RT @FriendsofCoalWV: Rep. Evan Jenkins (3rd District of WV) is guest on this episode of The Coal Seam, the official television show of... h…",,,624749915420426240,621097953,FriendsofCoalWV
625051012190085121,2953713339,repevanjenkins,Twitter for iPhone,2015-07-25 21:12:28,2,0,RT @WVOWradio: Congressman Evan Jenkins Mobile Office Hours http://t.co/pZORLAw041  @RepEvanJenkins,,,624951775288795136,625814299,WVOWradio
624615627647422464,2953713339,repevanjenkins,Twitter Web Client,2015-07-24 16:22:25,3,8,I’m joining my colleagues in sending a letter to the U.S. Justice Department asking for an investigation of #PlannedParenthood.,,,,,
624615377423564800,2953713339,repevanjenkins,Twitter Web Client,2015-07-24 16:21:25,6,12,"Through my role on the House Appropriations Committee, I’ve fought to eliminate federal funding for #PlannedParenthood.",,,,,
624587069399113728,2953713339,repevanjenkins,Twitter Web Client,2015-07-24 14:28:56,42,0,RT @SenateSAA: 17 years ago Jacob Chestnut &amp; John Gibson were gunned down protecting the Capitol. Today we honor their sacrifice. http://t.…,,,624561832532017153,807253855,SenateSAA
624351098367811584,2953713339,repevanjenkins,Twitter for iPhone,2015-07-23 22:51:16,6,6,Sanctuary cities are breaking the law. I voted yes today to stop taxpayers’ money from paying for grants awarded to sanctuary cities.,,,,,
624242346734014464,2953713339,repevanjenkins,Twitter Web Client,2015-07-23 15:39:07,3,0,RT @WVOWradio: Evan Jenkins Pushes Coal Ash Bill http://t.co/bTgYSi9luD,,,624240770900430848,625814299,WVOWradio
623969131096838146,2953713339,repevanjenkins,Twitter Web Client,2015-07-22 21:33:28,1,0,RT @WVPress: Video: U.S. Rep Jenkins speaks in support of coal bill: http://t.co/ZRlZGjNz65 @RepEvanJenkins,,,623969061022642177,700153740,WVPress
623968978801721344,2953713339,repevanjenkins,Twitter Web Client,2015-07-22 21:32:51,0,3,I’m proud to support legislation that will protect coal jobs and encourage reuse of coal ash.  @RepMcKinley https://t.co/hDKEHfWR11,,,,,
623958141949054976,2953713339,repevanjenkins,Twitter Web Client,2015-07-22 20:49:48,2,0,RT @RepMcKinley: Thank you to @RepAlexMooney &amp; @RepEvanJenkins for speaking in support of common-sense #CoalAsh law to protect jobs and env…,,,623957919902642176,240427862,RepMcKinley
623947343671463936,2953713339,repevanjenkins,Twitter for iPhone,2015-07-22 20:06:53,0,2,"Congrats to Emily Spangler of Huntington, a junior fellow at the Library of Congress this summer. @librarycongress http://t.co/8vlnoGcwEa",,,,,
623928104696852480,2953713339,repevanjenkins,Twitter for iPhone,2015-07-22 18:50:26,6,3,I was honored to visit Joint Base Langley-Eustis and join a KC-135 refueling run for an F-15 over the NC coast. http://t.co/fYjVx3avav,,,,,
623615852819169280,2953713339,repevanjenkins,Twitter Web Client,2015-07-21 22:09:40,0,0,In case you missed it: @BDTonline: “Federal highway bill: Long-term solution a necessity” http://t.co/crddHDY5Y5,,,,,
623503205482299392,2953713339,repevanjenkins,Twitter Web Client,2015-07-21 14:42:02,3,1,Great news for science and West Virginia -- $2 million annually for research at the @GrnBnkTelescope. @TheNRAO http://t.co/5DWMLHBjou …,,,,,
623501921865846784,2953713339,repevanjenkins,Twitter Web Client,2015-07-21 14:36:56,4,0,RT @WVPress: @RepEvanJenkins says stream buffer zone rule threatens coal miners' jobs http://t.co/FMxPHJRs69,,,623499669310689280,700153740,WVPress
622131698466205696,2953713339,repevanjenkins,Twitter Web Client,2015-07-17 19:52:10,4,0,RT @WVVA: VA director tells @SenCapito   @Sen_JoeManchin    @RepEvanJenkins  the Greenbrier Co. veterans clinic will reopen http://t.co/GT8…,,,622128164425216000,18456975,WVVA
622126848814788608,2953713339,repevanjenkins,Twitter for iPhone,2015-07-17 19:32:53,1,0,RT @JonathanMattise: VA Secretary: Greenbrier Clinic Will Reopen http://t.co/74I6XRwfME,,,622104668349579264,145307850,JonathanMattise
622109180720193536,2953713339,repevanjenkins,Twitter Web Client,2015-07-17 18:22:41,1,0,"Great news for our veterans in Fayette, Greenbrier, Monroe, Nicholas, Pocahontas, and Summers counties. http://t.co/jWWnRiJc55",,,,,
622076374598205440,2953713339,repevanjenkins,Twitter Web Client,2015-07-17 16:12:19,2,3,"VA Secretary Bob McDonald has committed to reopening the Greenbrier CBOC, helping thousands of WV veterans receive treatment closer to home.",,,,,
622041453724876800,2953713339,repevanjenkins,Twitter Web Client,2015-07-17 13:53:34,1,0,RT @Razor_Frazier: @RepEvanJenkins stopped by during my drill weekend. It's nice to see an official you've supported! http://t.co/SuePV63dPf,,,621862506437451776,3352336071,Razor_Frazier
621760423382110210,2953713339,repevanjenkins,Twitter for iPhone,2015-07-16 19:16:51,0,1,The administration continues to ignore the consequences of their regulations on West Virginia’s families and West Virginia’s economy.,,,,,
621760330625101824,2953713339,repevanjenkins,Twitter for iPhone,2015-07-16 19:16:29,1,1,I am outraged that the administration is moving forward with the job-killing stream buffer zone rule.,,,,,
621418402146553856,2953713339,repevanjenkins,Twitter Web Client,2015-07-15 20:37:47,4,1,Many roads throughout West Virginia’s Third District are in very poor shape. That’s why I voted yes today to fund the Highway Trust Fund.,,,,,
621411062139736064,2953713339,repevanjenkins,Twitter for iPhone,2015-07-15 20:08:37,1,2,"Thanks to Kaden Perrin and his mom, Jody Walters, of Martinsburg for meeting with me today to talk about dyslexia. http://t.co/7qvQ8WNflF",,,,,
621320802143764480,2953713339,repevanjenkins,Twitter Web Client,2015-07-15 14:09:57,1,0,"RT @HoppyKercheval: First up, Cong. Evan Jenkins",,,621319286288711681,16641194,HoppyKercheval
621316918314729472,2953713339,repevanjenkins,Twitter Web Client,2015-07-15 13:54:31,1,0,I'll be talking about the Iran deal and coal with @HoppyKercheval at 10:06 a.m. today. Listen live! http://t.co/fVLgLlOFDm,,,,,
621069069190582272,2953713339,repevanjenkins,Twitter for iPhone,2015-07-14 21:29:39,0,0,Great to welcome Rachel and Joshua Lykins of Huntington to my office to talk about faith. @AACS_DC http://t.co/xnGoJ7zVuW,,,,,
621067921486389248,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 21:25:06,6,0,"RT @CabellCounty911: Be prepared, storms are almost into our area. Expect heavy heavy rain and high winds.",,,621066121098080256,51647111,CabellCounty911
621050277089705984,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 20:14:59,1,0,"RT @CorridorH2020: Congressman Evan Jenkins, WV Third Congressional District - “We need safe, well-maintained roads in West Virginia... htt…",,,620959209048383488,455394680,CorridorH2020
621031814262599680,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 19:01:37,0,1,"From the details we have seen thus far, it appears the administration has failed to protect the world from the threat of a nuclear Iran.",,,,,
621031675896721412,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 19:01:04,3,1,I have said repeatedly that any agreement with Iran must not allow them to obtain a nuclear weapon and threaten the existence of Israel.,,,,,
620979143442866176,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 15:32:19,0,0,Great news for Raleigh County – important investments in our airport will improve reliability for travelers. http://t.co/s1HpqJoEQ1,,,,,
620948895242297348,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 13:32:07,1,1,I’ve cosponsored @MarshaBlackburn bill to require cities to jail arrested illegal immigrants or transfer them to federal custody.,,,,,
620948574973599744,2953713339,repevanjenkins,Twitter Web Client,2015-07-14 13:30:51,0,1,I’m outraged that cities like San Francisco are refusing to follow federal immigration laws in declaring themselves “sanctuary cities.”,,,,,
620702834946871297,2953713339,repevanjenkins,Twitter Web Client,2015-07-13 21:14:22,3,0,"RT @RepMcKinley: Thanks to @RepEvanJenkins for joining #CoalCaucus kickoff today. For #jobs we need reliable, affordable #coal http://t.co/…",,,620698318637658112,240427862,RepMcKinley
620623904814551040,2953713339,repevanjenkins,Twitter Web Client,2015-07-13 16:00:44,2,0,RT @TomRoten: Big #TR Thanks to @jimbutlerwv &amp; @RepEvanJenkins for coming on the show today! http://t.co/cmAkMBmsmq,,,620621630612463616,402683128,TomRoten
619996981960798208,2953713339,repevanjenkins,Twitter for iPhone,2015-07-11 22:29:34,4,3,Meeting with members of the West Virginia National Guard at the armory in Summersville today. http://t.co/1B4GvVn0MP,,,,,
619507895630196736,2953713339,repevanjenkins,Twitter Web Client,2015-07-10 14:06:06,3,0,"RT @ONEVOICEWV: Rep. Evan Jenkins, did an outstanding job pointing out our  Wyoming County National SADD leaders!      I think... http://t.…",,,619248691896041472,42394811,ONEVOICEWV
619507669511065600,2953713339,repevanjenkins,Twitter Web Client,2015-07-10 14:05:12,2,0,"RT @thelmondollar: Thank you, Rep. Evan Jenkins, for honoring Wyoming County SADD today from the Floor.  The Chapter is the 2015... http://…",,,619239449013022720,41119480,thelmondollar
619265799119876096,2953713339,repevanjenkins,Twitter for iPhone,2015-07-09 22:04:06,0,2,I voted today to pass legislation to improve our forests and help prevent wildfires. http://t.co/ARLvHSQwar,,,,,
619235810282500096,2953713339,repevanjenkins,Twitter Web Client,2015-07-09 20:04:56,3,1,I honored the Wyoming County @SADDnation chapter today for being named the national chapter of the year. Congrats! https://t.co/6HJCtQ7Gq6,,,,,
619172918405242880,2953713339,repevanjenkins,Twitter for iPhone,2015-07-09 15:55:02,1,0,Meeting with Mercer &amp; Jackson schools superintendents Deborah Akers &amp; Blaine Hess about ways to improve our schools. http://t.co/ryMDGlNd4C,,,,,
