id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627124471820865536,2953494478,repryanzinke,TweetDeck,2015-07-31 14:31:40,2,2,@LZ_Grace @RyanZinke @ravallirepublic Thanks for the support! I am fighting for our troops no matter where they live.,LZ_Grace,627096296717963264,,,
626858314593275904,2953494478,repryanzinke,TweetDeck,2015-07-30 20:54:03,3,0,tomorrow morning I'll be talking #Iran #Highways and #ForestReform on @Newstalk730 at 7:35  &amp; @kgvoam at 9:30. Hope you can tune in! #mtpol,,,,,
626826872584859648,2953494478,repryanzinke,TweetDeck,2015-07-30 18:49:06,1,0,RT @FlatheadBeacon: Firefighters Securing Final Section of Reynolds Creek Fire http://t.co/eANghdHb0Q,,,626825078357897216,17546776,FlatheadBeacon
626503764606910464,2953494478,repryanzinke,TweetDeck,2015-07-29 21:25:12,1,2,Lola and I are saddened by the news in  Pryor and keeping the family and the community in our thoughts and prayers.,,,,,
626489945998409728,2953494478,repryanzinke,TweetDeck,2015-07-29 20:30:17,0,4,Proud to receive a Hero of Main Street Award from the MT Retail Assoc. Small biz is the lifeblood of our communities. http://t.co/5pNx05vwGe,,,,,
626487854009581568,2953494478,repryanzinke,TweetDeck,2015-07-29 20:21:58,2,0,RT @bradpgriffin: Presenting #NRF Hero of Main Street Award to @RyanZinke #retailadvocate http://t.co/fTM1dv14vP,,,626474927697342464,93662746,bradpgriffin
626465846366457856,2953494478,repryanzinke,TweetDeck,2015-07-29 18:54:31,2,0,RT @billingsgazette: Follow our @BGJordon and @BGCaseyPage for update from Pryor. Shooting reported.  https://t.co/lF2xcBlfny,,,626465526848593921,21243049,billingsgazette
626451161541910528,2953494478,repryanzinke,TweetDeck,2015-07-29 17:56:10,0,1,"Infrastructure is an investment, not an expense. A longterm highway bill that is paid for and prioritized is certainly at the top of my list",,,,,
626438586892742656,2953494478,repryanzinke,TweetDeck,2015-07-29 17:06:12,2,1,Teaming up w/ @SteveDaines to ensure EIS is complete at #GatewayPacificTerminal before any decision is made #mtpol http://t.co/Je92B6yToY,,,,,
626380526513991685,2953494478,repryanzinke,TweetDeck,2015-07-29 13:15:29,7,4,Happy Birthday @NASA -- Here just 10 of the everyday innovations #NASA has developed http://t.co/pOdJZj8Oh6 http://t.co/qSUmQYai4P,,,,,
626044938749386752,2953494478,repryanzinke,TweetDeck,2015-07-28 15:01:59,6,0,RT @RedAlert: OP-ED from @RepRyanZinke : Our troops gave us everything they have. We owe them our best. http://t.co/jhjQ8gTEVz http://t.co/…,,,626039426095824896,418991627,RedAlert
625668680333041664,2953494478,repryanzinke,TweetDeck,2015-07-27 14:06:52,8,1,The cowardly #Chattanooga attack won't be ignored and our heroes shall not die in vain #mtpol https://t.co/xtu9f8L8zi http://t.co/bMMCfnYmOz,,,,,
624321359099727872,2953494478,repryanzinke,TweetDeck,2015-07-23 20:53:05,2,1,Montanans have a right to know what is in the food they are eating and preparing for their families http://t.co/dRso6m3MIV,,,,,
624320862645129222,2953494478,repryanzinke,TweetDeck,2015-07-23 20:51:07,3,0,RT @jfranz88: The Seal Team 6 of firefighting is on the way to Glacier Park to battle the #ReynoldsCreekFire http://t.co/oXK4rs0qdM #MTnews…,,,624316112642019333,53768318,jfranz88
624235293361741824,2953494478,repryanzinke,Twitter for iPhone,2015-07-23 15:11:06,2,6,We are talking about innovative solutions for @NatlParkService in @NatResources today 🌳🌲🌻 #mtpol http://t.co/voRkhYSiKC,,,,,
623942092008648704,2953494478,repryanzinke,TweetDeck,2015-07-22 19:46:01,3,7,I applaud @SteveDaines for his leadership in the Senate on the #SemperFiAct  Our troops deserve the right to defend themselves.,,,,,
623612843913519104,2953494478,repryanzinke,TweetDeck,2015-07-21 21:57:42,19,9,Today I joined @RepDuncanHunter &amp; @SteveDaines to help introduce #SEMPERFIAct &amp; make recruiting centers safer https://t.co/Wg4qcMK9eH,,,,,
623579389213704192,2953494478,repryanzinke,TweetDeck,2015-07-21 19:44:46,3,4,"If you're in the Townsend area and concerned about the #mtfire follow @TGBridge for updates. Stay safe, Thom &amp; all first responders.",,,,,
622484357089857536,2953494478,repryanzinke,Twitter for iPhone,2015-07-18 19:13:30,8,8,"Senator McCain, congressman Sam Johnson, and the other POWS of Vietnam are true American heros...period.",,,,,
622056058090090496,2953494478,repryanzinke,TweetDeck,2015-07-17 14:51:36,19,19,Flying the #Marines Globe &amp; Anchor outside my DC office in respect &amp; remembrance of our 4 fallen heroes #SemperFi http://t.co/0RceQqRqj2,,,,,
621766950222450689,2953494478,repryanzinke,TweetDeck,2015-07-16 19:42:47,0,1,Good list. What's your favorite book about #Montana?  https://t.co/ZXHvXM52P3,,,,,
621764954866216960,2953494478,repryanzinke,Instagram,2015-07-16 19:34:51,1,1,#TBT to My days as a #frogman  testing M79 grenade launchers at the Yakima Proving Grounds - my… https://t.co/1FKjLMnTeI,,,,,
621362302248448000,2953494478,repryanzinke,TweetDeck,2015-07-15 16:54:51,3,9,Thanks to Hammer and Trevor for teaching me more about #juvanilediabetes Proud to help pass #21stCenturyCures #mtpol http://t.co/buqy5f2H3r,,,,,
620995208864514048,2953494478,repryanzinke,TweetDeck,2015-07-14 16:36:09,5,1,The verification parameters of the #IranDeal are not robust enough to ensure Iran plays by the rules.  #mtpol https://t.co/TxqBfYGYzA,,,,,
620919228560969728,2953494478,repryanzinke,Twitter for iPhone,2015-07-14 11:34:14,10,6,"POTUS is allowing #Iran to take control in Iraq. Now he is making ""their prayers come true"" with the #BadDeal. This is a dangerous precedent",,,,,
620917813658689536,2953494478,repryanzinke,Twitter for iPhone,2015-07-14 11:28:37,11,0,RT @TXRandy14: The entire international community supports this deal? The President must have forgotten about Israel. #NoNuclearIran,,,620914363826839552,1058051748,TXRandy14
